Maine Geological Survey RTK GPS Survey Report
Point,Date,Time,Easting,Northing,Elevation,Latitude,Longitude,EllipseEl,HDOP,VDOP,3DCQ
TRANSC01,05/22/2020,12:07:00,419316.5114,4857120.6763,1.11,43.86277,-70.00404,-24.85,1.10,1.30,0.03
TRANSC02,05/22/2020,12:07:29,419316.3583,4857120.9111,1.10,43.86277,-70.00404,-24.85,1.10,1.30,0.02
TRANSC03,05/22/2020,12:07:49,419316.3065,4857121.1434,1.13,43.86277,-70.00404,-24.83,1.10,1.30,0.03
TRANSC04,05/22/2020,12:08:10,419316.2363,4857121.3795,1.20,43.86277,-70.00404,-24.76,1.10,1.30,0.02
TRANSC05,05/22/2020,12:08:34,419316.1294,4857121.6106,1.21,43.86277,-70.00404,-24.75,1.10,1.30,0.04
TRANSC06,05/22/2020,12:09:16,419316.0336,4857121.8443,1.20,43.86278,-70.00405,-24.76,1.10,1.30,0.03
TRANSC07,05/22/2020,12:09:33,419315.9540,4857122.0737,1.20,43.86278,-70.00405,-24.76,1.10,1.30,0.04
TRANSC08,05/22/2020,12:09:57,419315.8328,4857122.3166,1.20,43.86278,-70.00405,-24.75,1.10,1.30,0.04
TRANSC09,05/22/2020,12:10:16,419315.7389,4857122.5680,1.20,43.86278,-70.00405,-24.76,1.10,1.30,0.03
TRANSC10,05/22/2020,12:10:36,419315.3775,4857123.4741,1.19,43.86279,-70.00405,-24.77,1.30,2.00,0.05
TRANSC11,05/22/2020,12:11:08,419315.0145,4857124.3883,1.20,43.86280,-70.00406,-24.76,1.60,2.00,0.03
TRANSC12,05/22/2020,12:11:44,419314.6282,4857125.3058,1.17,43.86281,-70.00406,-24.79,1.60,2.00,0.04
TRANSC13,05/22/2020,12:12:33,419313.8661,4857127.1826,1.25,43.86282,-70.00407,-24.71,1.60,2.10,0.04
TRANSC14,05/22/2020,12:12:59,419313.1360,4857129.0249,1.26,43.86284,-70.00408,-24.70,1.60,2.10,0.03
TRANSC15,05/22/2020,12:13:18,419312.3806,4857130.8507,1.35,43.86286,-70.00409,-24.61,1.60,2.10,0.08
TRANSD01,05/22/2020,12:19:58,419324.5117,4857125.3735,0.86,43.86281,-70.00394,-25.10,1.10,1.40,0.03
TRANSD02,05/22/2020,12:20:19,419324.4112,4857125.5434,1.02,43.86281,-70.00394,-24.94,1.10,1.40,0.03
TRANSD04,05/22/2020,12:22:23,419324.1857,4857125.9292,1.11,43.86281,-70.00395,-24.84,1.30,2.20,0.03
TRANSD05,05/22/2020,12:22:51,419324.0450,4857126.1387,1.11,43.86282,-70.00395,-24.85,1.30,2.20,0.03
TRANSD06,05/22/2020,12:23:13,419323.9104,4857126.3520,1.14,43.86282,-70.00395,-24.81,1.30,2.20,0.03
TRANSD07,05/22/2020,12:23:47,419323.7915,4857126.5636,1.10,43.86282,-70.00395,-24.86,1.30,2.20,0.03
TRANSD08,05/22/2020,12:24:10,419323.6509,4857126.7814,1.10,43.86282,-70.00395,-24.86,1.30,2.20,0.02
TRANSD09,05/22/2020,12:24:38,419323.4995,4857126.9829,1.15,43.86282,-70.00395,-24.81,1.30,2.20,0.03
TRANSD10,05/22/2020,12:25:00,419323.3911,4857127.1729,1.20,43.86283,-70.00396,-24.76,1.30,2.20,0.06
TRANSD11,05/22/2020,12:26:53,419322.8314,4857128.0063,1.15,43.86283,-70.00396,-24.81,1.30,2.30,0.05
TRANSB01,05/22/2020,12:41:55,419309.9576,4857116.9805,0.96,43.86273,-70.00412,-25.00,1.30,2.40,0.03
TRANSB02,05/22/2020,12:42:28,419309.8900,4857117.1203,1.10,43.86273,-70.00412,-24.86,1.30,2.40,0.03
TRANSB03,05/22/2020,12:42:52,419309.8321,4857117.3482,1.11,43.86274,-70.00412,-24.85,1.30,2.40,0.04
TRANSB04,05/22/2020,12:43:22,419309.7495,4857117.6099,1.16,43.86274,-70.00412,-24.80,1.30,2.40,0.02
TRANSB05,05/22/2020,12:43:48,419309.6455,4857117.8338,1.18,43.86274,-70.00412,-24.78,1.30,2.40,0.02
TRANSB06,05/22/2020,12:44:10,419309.5809,4857118.0660,1.18,43.86274,-70.00413,-24.78,1.30,2.40,0.03
TRANSB07,05/22/2020,12:44:31,419309.5042,4857118.2880,1.18,43.86274,-70.00413,-24.78,1.30,2.40,0.03
TRANSB08,05/22/2020,12:44:54,419309.3630,4857118.7504,1.16,43.86275,-70.00413,-24.79,1.30,2.40,0.03
TRANSB09,05/22/2020,12:45:16,419309.1796,4857119.2358,1.19,43.86275,-70.00413,-24.76,1.30,2.40,0.02
TRANSB10,05/22/2020,12:46:25,419308.8314,4857120.1712,1.21,43.86276,-70.00414,-24.75,1.30,2.40,0.02
TRANSB11,05/22/2020,12:46:59,419308.5239,4857121.1125,1.27,43.86277,-70.00414,-24.69,1.10,1.70,0.03
TRANSB12,05/22/2020,12:47:27,419308.1958,4857122.0607,1.24,43.86278,-70.00414,-24.72,1.10,1.70,0.03
TRANSB13,05/22/2020,12:47:60,419307.8984,4857123.0075,1.30,43.86279,-70.00415,-24.66,1.20,2.40,0.03
TRANSB14,05/22/2020,12:52:14,419307.5700,4857123.9739,1.28,43.86280,-70.00415,-24.68,1.20,2.30,0.03
TRANSB15,05/22/2020,12:52:51,419307.2725,4857124.9147,1.29,43.86280,-70.00416,-24.67,1.20,2.30,0.03
TRANSB16,05/22/2020,12:53:25,419306.9942,4857125.8586,1.33,43.86281,-70.00416,-24.63,1.20,2.30,0.04
TRANSB17,05/22/2020,12:53:56,419306.6505,4857126.8392,1.31,43.86282,-70.00416,-24.64,1.20,2.30,0.02
TRANSA01,05/22/2020,12:56:17,419303.7809,4857111.7229,0.38,43.86268,-70.00420,-25.58,1.10,1.80,0.03
TRANSA02,05/22/2020,12:56:38,419303.7110,4857111.9287,0.69,43.86269,-70.00420,-25.27,1.10,1.80,0.03
TRANSA03,05/22/2020,12:57:03,419303.5969,4857112.2595,0.78,43.86269,-70.00420,-25.18,1.10,1.80,0.03
TRANSA04,05/22/2020,12:57:31,419303.5078,4857112.4853,0.79,43.86269,-70.00420,-25.16,1.10,1.80,0.02
TRANSA05,05/22/2020,12:57:59,419303.4488,4857112.7119,0.79,43.86269,-70.00420,-25.17,1.10,1.80,0.02
TRANSA06,05/22/2020,12:58:33,419303.4089,4857112.9199,0.85,43.86270,-70.00420,-25.11,1.10,1.80,0.03
TRANSA07,05/22/2020,12:58:55,419303.3083,4857113.1416,0.94,43.86270,-70.00420,-25.02,1.10,1.80,0.02
TRANSA08,05/22/2020,12:59:19,419303.2404,4857113.3672,0.98,43.86270,-70.00420,-24.98,1.10,1.70,0.02
TRANSA09,05/22/2020,12:59:40,419303.1465,4857113.5821,0.99,43.86270,-70.00421,-24.97,1.10,1.70,0.02
TRANSA10,05/22/2020,13:00:12,419303.0473,4857113.8360,1.04,43.86270,-70.00421,-24.92,1.10,1.70,0.02
TRANSA11,05/22/2020,13:00:30,419302.9761,4857114.0806,1.03,43.86271,-70.00421,-24.92,1.10,1.70,0.02
TRANSA12,05/22/2020,13:00:51,419302.8814,4857114.2835,1.09,43.86271,-70.00421,-24.87,1.10,1.70,0.03
TRANSA13,05/22/2020,13:01:19,419302.7826,4857114.5261,1.10,43.86271,-70.00421,-24.85,1.10,1.70,0.03
TRANSA14,05/22/2020,13:01:58,419302.6935,4857114.7834,1.13,43.86271,-70.00421,-24.83,1.10,1.70,0.02
TRANSA15,05/22/2020,13:02:19,419302.6037,4857114.9954,1.16,43.86271,-70.00421,-24.80,1.10,1.70,0.03
