Maine Geological Survey RTK GPS Survey Report
Point,Date,Time,Easting,Northing,Elevation,Latitude,Longitude,EllipseEl,HDOP,VDOP,3DCQ
TRANSA01,05/22/2020,09:44:30,420255.1975,4857605.6767,0.38,43.86723,-69.99243,-25.56,0.90,1.50,0.03
TRANSA02,05/22/2020,09:45:09,420255.1581,4857606.6989,0.47,43.86724,-69.99243,-25.48,1.00,1.50,0.02
TRANSA03,05/22/2020,09:45:32,420255.1467,4857607.6758,0.51,43.86725,-69.99243,-25.43,0.90,1.50,0.02
TRANSA04,05/22/2020,09:45:59,420255.1164,4857608.6883,0.54,43.86726,-69.99243,-25.40,0.90,1.50,0.02
TRANSA05,05/22/2020,09:46:28,420255.0915,4857609.6786,0.54,43.86727,-69.99243,-25.40,1.00,1.50,0.02
TRANSA06,05/22/2020,09:46:54,420255.0598,4857610.6708,0.51,43.86728,-69.99244,-25.43,1.00,1.50,0.02
TRANSA07,05/22/2020,09:47:14,420255.0140,4857611.6859,0.52,43.86729,-69.99244,-25.43,1.00,1.50,0.03
TRANSA08,05/22/2020,09:47:45,420254.9456,4857612.6693,0.50,43.86730,-69.99244,-25.44,1.00,1.50,0.03
TRANSA09,05/22/2020,09:48:11,420254.8981,4857613.6653,0.52,43.86731,-69.99244,-25.43,1.00,1.50,0.02
TRANSA10,05/22/2020,09:48:37,420254.8447,4857614.1945,0.45,43.86731,-69.99244,-25.50,0.90,1.40,0.03
TRANSA11,05/22/2020,09:48:58,420254.8247,4857614.5284,0.51,43.86731,-69.99244,-25.44,0.90,1.40,0.03
TRANSA12,05/22/2020,09:49:31,420254.8323,4857614.7298,0.46,43.86732,-69.99244,-25.49,0.90,1.40,0.02
TRANSA13,05/22/2020,09:50:29,420254.7575,4857615.0444,0.52,43.86732,-69.99244,-25.43,0.90,1.40,0.02
TRANSA14,05/22/2020,09:50:52,420254.7294,4857615.2934,0.53,43.86732,-69.99244,-25.41,1.00,1.50,0.02
TRANSA15,05/22/2020,09:51:41,420254.7446,4857615.4994,0.97,43.86732,-69.99244,-24.97,1.00,1.50,0.02
TRANSA16,05/22/2020,09:52:12,420254.7422,4857615.6865,1.08,43.86732,-69.99244,-24.87,1.00,1.50,0.02
TRANSA17,05/22/2020,09:52:48,420254.7450,4857615.8856,1.17,43.86733,-69.99244,-24.77,1.00,1.50,0.02
TRANSA18,05/22/2020,09:53:11,420254.7040,4857616.1228,1.28,43.86733,-69.99244,-24.67,0.90,1.40,0.02
